rank,word,frequency,relative_frequency
254,योगयुक्तो,3,0.00043968928623772536
255,युक्तो,3,0.00043968928623772536
256,करोति,3,0.00043968928623772536
257,बुद्ध्या,3,0.00043968928623772536
258,स्थितः,3,0.00043968928623772536
259,तस्याहं,3,0.00043968928623772536
260,दुःखं,3,0.00043968928623772536
261,मतः,3,0.00043968928623772536
262,भूयो,3,0.00043968928623772536
263,मत्तः,3,0.00043968928623772536
264,चाहं,3,0.00043968928623772536
265,भजन्ते,3,0.00043968928623772536
266,ज्ञानी,3,0.00043968928623772536
267,प्रियो,3,0.00043968928623772536
268,प्रयाणकाले,3,0.00043968928623772536
269,पुरुषोत्तम,3,0.00043968928623772536
270,को,3,0.00043968928623772536
271,संशयः,3,0.00043968928623772536
272,वापि,3,0.00043968928623772536
273,चेतसा,3,0.00043968928623772536
274,हृदि,3,0.00043968928623772536
275,सर्वाः,3,0.00043968928623772536
276,न्यो,3,0.00043968928623772536
277,निवर्तन्ते,3,0.00043968928623772536
278,वक्ष्यामि,3,0.00043968928623772536
279,गच्छन्ति,3,0.00043968928623772536
280,इदं,3,0.00043968928623772536
281,पश्य,3,0.00043968928623772536
282,पृथक्त्वेन,3,0.00043968928623772536
283,शरणं,3,0.00043968928623772536
284,क्षमा,3,0.00043968928623772536
285,योगेन,3,0.00043968928623772536
286,तमः,3,0.00043968928623772536
287,मध्यं,3,0.00043968928623772536
288,परंतप,3,0.00043968928623772536
289,देव,3,0.00043968928623772536
290,प्रसीद,3,0.00043968928623772536
291,देवेश,3,0.00043968928623772536
292,जगन्निवास,3,0.00043968928623772536
293,स्तु,3,0.00043968928623772536
294,हे,3,0.00043968928623772536
295,मद्भक्तः,3,0.00043968928623772536
296,क्षेत्रं,3,0.00043968928623772536
297,शौचं,3,0.00043968928623772536
298,प्रवृत्तिं,3,0.00043968928623772536
299,त्रिविधं,3,0.00043968928623772536
300,सात्त्विकी,3,0.00043968928623772536
301,राजसी,3,0.00043968928623772536
302,तामसी,3,0.00043968928623772536
303,दीयते,3,0.00043968928623772536
304,स्मृतम्,3,0.00043968928623772536
305,यत्तु,3,0.00043968928623772536
306,धृत्या,3,0.00043968928623772536
307,संस्मृत्य,3,0.00043968928623772536
308,राजा,2,0.0002931261908251502
309,शूरा,2,0.0002931261908251502
310,विराटश्च,2,0.0002931261908251502
311,महारथः,2,0.0002931261908251502
312,वीर्यवान्,2,0.0002931261908251502
313,द्रौपदेयाश्च,2,0.0002931261908251502
314,महारथाः,2,0.0002931261908251502
315,पितामहः,2,0.0002931261908251502
316,दध्मौ,2,0.0002931261908251502
317,हृषीकेशो,2,0.0002931261908251502
318,धनंजयः,2,0.0002931261908251502
319,हृषीकेशं,2,0.0002931261908251502
320,त्र,2,0.0002931261908251502
321,सर्वेषां,2,0.0002931261908251502
322,कृपया,2,0.0002931261908251502
323,परया,2,0.0002931261908251502
324,स्वजनं,2,0.0002931261908251502
325,समुपस्थितम्,2,0.0002931261908251502
326,सुखानि,2,0.0002931261908251502
327,इमे,2,0.0002931261908251502
328,युद्धे,2,0.0002931261908251502
329,नु,2,0.0002931261908251502
330,हन्तुं,2,0.0002931261908251502
331,सुखिनः,2,0.0002931261908251502
332,कुलक्षयकृतं,2,0.0002931261908251502
333,दोषं,2,0.0002931261908251502
334,वार्ष्णेय,2,0.0002931261908251502
335,कुलघ्नानां,2,0.0002931261908251502
336,पतन्ति,2,0.0002931261908251502
337,मनुष्याणां,2,0.0002931261908251502
338,नरके,2,0.0002931261908251502
339,रणे,2,0.0002931261908251502
340,संख्ये,2,0.0002931261908251502
341,विषीदन्तमिदं,2,0.0002931261908251502
342,द्रोणं,2,0.0002931261908251502
343,वस्थिताः,2,0.0002931261908251502
344,ब्रूहि,2,0.0002931261908251502
345,तन्मे,2,0.0002931261908251502
346,योत्स्य,2,0.0002931261908251502
347,मुह्यति,2,0.0002931261908251502
348,तद्विद्धि,2,0.0002931261908251502
349,कश्चित्,2,0.0002931261908251502
350,हन्यते,2,0.0002931261908251502
351,भविता,2,0.0002931261908251502
