rank,word,frequency,relative_frequency
321,nirujjhissatīti,413,0.0005245470225288501
322,nasanidassanasappaṭighaṁ,412,0.0005232769328859231
323,maggasaccaṁ,410,0.0005207367536000691
324,savitakkasavicāro,410,0.0005207367536000691
325,parinibbantānaṁ,410,0.0005207367536000691
326,kusalattika,408,0.0005181965743142151
327,bahiddhā,408,0.0005181965743142151
328,dvīsu,408,0.0005181965743142151
329,pacchājātapaccayena,407,0.0005169264846712881
330,appahīno,407,0.0005169264846712881
331,dhammānaṁ,404,0.0005131162157425071
332,sukhaṁ,400,0.0005080358571707991
333,naadhipatipaccayā,399,0.0005067657675278722
334,pacchājātaṁ,399,0.0005067657675278722
335,cakkhundriyañca,397,0.0005042255882420181
336,tiṇṇannaṁ,394,0.0005004153193132371
337,naārammaṇapaccayā,394,0.0005004153193132371
338,nibbānaṁ,391,0.0004966050503844562
339,imassa,390,0.0004953349607415291
340,suddha,390,0.0004953349607415291
341,puggalassa,389,0.0004940648710986021
342,aniccato,389,0.0004940648710986021
343,kāyāyatanaṁ,387,0.0004915246918127482
344,anuseti,387,0.0004915246918127482
345,avitakkavicāramatto,387,0.0004915246918127482
346,saṅkhyāvāra,384,0.00048771442288396714
347,pavatte,383,0.00048644433324104017
348,indriyaṁ,382,0.00048517424359811314
349,bhavarāgānusayo,381,0.00048390415395518617
350,cakkhāyatanañca,380,0.00048263406431225915
351,avikkhepo,377,0.0004788237953834782
352,ahetukaṁ,376,0.00047755370574055115
353,cakkhu,376,0.00047755370574055115
354,ekenāyatanena,376,0.00047755370574055115
355,vigate,376,0.00047755370574055115
356,anulomaṁ,374,0.00047501352645469715
357,kusalassa,372,0.00047247334716884315
358,noupādā,372,0.00047247334716884315
359,maggo,371,0.0004712032575259162
360,pajahati,371,0.0004712032575259162
361,kho,369,0.0004686630782400622
362,kabaḷīkāro,369,0.0004686630782400622
363,āhāro,369,0.0004686630782400622
364,sānusayo,366,0.0004648528093112812
365,āhārapaccayena,366,0.0004648528093112812
366,pacchājātā,366,0.0004648528093112812
367,diṭṭhānusayo,364,0.0004623126300254272
368,naakusalo,363,0.0004610425403825002
369,natthiyā,362,0.0004597724507395732
370,paccavekkhati,360,0.0004572322714537192
371,uppādeti,360,0.0004572322714537192
372,sabbe,357,0.0004534220025249382
373,nuppajjittha,356,0.0004521519128820112
374,vippayutta,354,0.0004496117335961572
375,vipākaṁ,352,0.0004470715543103032
376,rūpassa,352,0.0004470715543103032
377,abyākatassa,352,0.0004470715543103032
378,vibhaṅgavāra,352,0.0004470715543103032
379,apariyāpanne,351,0.0004458014646673762
380,adhipati,350,0.00044453137502444923
381,saṅgahitā,350,0.00044453137502444923
382,anantarūpanissayo,349,0.0004432612853815222
383,avitakkaavicāro,348,0.00044199119573859523
384,mānānusayena,347,0.00044072110609566826
385,parijānātīti,346,0.00043945101645274123
386,vuṭṭhahitvā,345,0.00043818092680981426
387,paṭilabhissanti,343,0.00043564074752396026
388,gaṇetabbaṁ,339,0.00043056038895225227
389,upapajjitvā,339,0.00043056038895225227
390,cakkhuviññāṇassa,338,0.00042929029930932524
391,phoṭṭhabbāyatanaṁ,333,0.00042293985109469027
392,indriyapaccayena,331,0.0004203996718088363
393,saṁsaṭṭho,327,0.0004153193132371283
394,uppannaṁ,326,0.00041404922359420125
395,saṅkhārā,325,0.0004127791339512743
396,kilese,324,0.0004115090443083473
397,dhātuyo,321,0.0004076987753795663
398,passati,319,0.0004051585960937123
399,bhagavatā,319,0.0004051585960937123
400,magga,319,0.0004051585960937123
401,hetuduka,317,0.0004026184168078583
402,vicikicchānusayañca,317,0.0004026184168078583
403,kāyaviññāṇassa,316,0.0004013483271649313
404,cittañca,314,0.0003988081478790773
405,ekāya,314,0.0003988081478790773
406,dhātuyā,314,0.0003988081478790773
407,ekena,313,0.0003975380582361503
408,aññātāvindriyaṁ,312,0.0003962679685932233
409,vicikicchānusayena,312,0.0003962679685932233
410,sotāyatanaṁ,311,0.0003949978789502963
411,kaṭattā,310,0.0003937277893073693
412,khandhena,308,0.0003911876100215153
413,kātabbaṁ,307,0.0003899175203785883
414,nānākkhaṇikā,307,0.0003899175203785883
415,ekavīsa,306,0.0003886474307356613
416,dhammānulomapaccanīya,305,0.0003873773410927343
417,anantarā,302,0.00038356707216395333
418,saddhā,297,0.00037721662394931836
419,vicikicchānusayaṁ,297,0.00037721662394931836
420,vippayuttapaccayā,296,0.00037594653430639134
421,aṭṭha,295,0.00037467644466346436
422,ariyā,295,0.00037467644466346436
423,anidassanaappaṭighaṁ,295,0.00037467644466346436
424,pajānāti,295,0.00037467644466346436
425,deti,295,0.00037467644466346436
426,lokuttaraṁ,294,0.00037340635502053734
427,atītaṁ,294,0.00037340635502053734
428,honti,293,0.00037213626537761037
429,pubbe,293,0.00037213626537761037
430,ārammaṇapurejātaṁ,291,0.00036959608609175637
431,kileso,290,0.00036832599644882934
432,āsavo,289,0.00036705590680590237
433,vatthupurejātaṁ,289,0.00036705590680590237
434,kāmāvacaraṁ,287,0.00036451572752004837
435,tīsu,287,0.00036451572752004837
436,avijjānusayaṁ,286,0.00036324563787712134
437,senāsanaṁ,285,0.0003619755482341944
438,kāmehi,284,0.00036070545859126735
439,vivicceva,283,0.0003594353689483404
440,upādā,282,0.0003581652793054134
441,nirujjhissanti,282,0.0003581652793054134
442,ārammaṇūpanissayo,281,0.0003568951896624864
443,nirujjhatīti,280,0.0003556251000195594
444,vicikicchāsahagato,279,0.0003543550103766324
445,atthīti,279,0.0003543550103766324
446,pahātabbahetukassa,279,0.0003543550103766324
447,kusalattike,279,0.0003543550103766324
448,pahīnā,277,0.0003518148310907784
449,paccayacatukka,277,0.0003518148310907784
450,vicāro,273,0.0003467344725190704
451,uddhaccasahagato,272,0.0003454643828761434
452,ahetuko,272,0.0003454643828761434
453,kātabbā,271,0.0003441942932332164
454,purejātassa,271,0.0003441942932332164
455,araṇo,270,0.0003429242035902894
456,bhūmīsu,269,0.0003416541139473624
457,neva,268,0.0003403840243044354
458,aññaṁ,266,0.0003378438450185814
459,phalassa,265,0.0003365737553756544
460,rūpāyatanañca,264,0.0003353036657327274
461,ārammaṇa,264,0.0003353036657327274
462,savitakkasavicārā,262,0.0003327634864468734
463,nirujjhanti,262,0.0003327634864468734
464,uposathakammaṁ,261,0.0003314933968039464
465,anidassanaappaṭigho,261,0.0003314933968039464
466,sveva,260,0.0003302233071610194
467,dasa,259,0.00032895321751809245
468,ettha,258,0.0003276831278751654
469,upekkhindriyañca,258,0.0003276831278751654
470,bhikkhu,257,0.00032641303823223845
471,vuttaṁ,256,0.00032514294858931143
472,āsevanapaccayena,255,0.00032387285894638446
473,hi,254,0.00032260276930345743
474,upādārūpaṁ,253,0.00032133267966053046
475,ahetukapaṭisandhikkhaṇe,253,0.00032133267966053046
476,nirujjhitthāti,253,0.00032133267966053046
477,maggā,252,0.00032006259001760343
478,bhikkhave,252,0.00032006259001760343
479,kaṭattārūpānaṁ,252,0.00032006259001760343
480,ajjhattaṁ,251,0.00031879250037467646
481,akusalassa,251,0.00031879250037467646
482,manindriyañca,248,0.00031498223144589544
483,avitakkavicāramattassa,248,0.00031498223144589544
484,sahajātavārampi,248,0.00031498223144589544
485,mūlaṁ,248,0.00031498223144589544
486,idha,247,0.00031371214180296846
487,ghānindriyañca,247,0.00031371214180296846
488,purisindriyañca,247,0.00031371214180296846
489,phalasamāpattiyā,247,0.00031371214180296846
490,cakkhunā,246,0.00031244205216004144
491,nanahetu,246,0.00031244205216004144
492,saccikaṭṭhaparamatthena,245,0.00031117196251711447
493,puggalānaṁ,245,0.00031117196251711447
494,parihāyati,245,0.00031117196251711447
495,idhekacco,244,0.00030990187287418744
496,rūpāvacarānaṁ,244,0.00030990187287418744
497,pahātabbā,243,0.00030863178323126047
498,kāyikaṁ,242,0.00030736169358833344
499,dhammāyatanañca,242,0.00030736169358833344
500,acakkhukānaṁ,242,0.00030736169358833344
501,nissayapaccayena,240,0.00030482151430247944
502,rūpāvacare,239,0.00030355142465955247
503,pañcavokāre,239,0.00030355142465955247
504,cetasikaṁ,238,0.0003022813350166255
505,mano,236,0.0002997411557307715
506,saccā,236,0.0002997411557307715
507,arūpānaṁ,235,0.0002984710660878445
508,kāmāvacarā,234,0.0002972009764449175
509,somanassindriyañca,234,0.0002972009764449175
510,pañhā,234,0.0002972009764449175
511,avijjānusayena,234,0.0002972009764449175
512,napurejātapaccayā,232,0.0002946607971590635
513,iminā,232,0.0002946607971590635
514,anupādinnupādāniyo,232,0.0002946607971590635
515,pahātabbahetukā,231,0.0002933907075161365
516,āsavā,231,0.0002933907075161365
517,niṭṭhitā,231,0.0002933907075161365
518,saṁsaṭṭhā,231,0.0002933907075161365
519,rūpāvacaraṁ,230,0.0002921206178732095
520,nāmaṁ,230,0.0002921206178732095
521,dukkhapaṭipadaṁ,229,0.0002908505282302825
522,sampayutta,229,0.0002908505282302825
523,niṭṭhitaṁ,228,0.0002895804385873555
524,sacakkhukānaṁ,228,0.0002895804385873555
525,nakammapaccayā,227,0.0002883103489444285
526,āvajjanāya,227,0.0002883103489444285
527,dandhābhiññaṁ,226,0.0002870402593015015
528,vicikicchāsahagate,226,0.0002870402593015015
529,nahetuñca,226,0.0002870402593015015
530,mānānusayaṁ,225,0.0002857701696585745
531,sammādiṭṭhi,224,0.0002845000800156475
532,āvaṭṭanā,223,0.0002832299903727205
