rank,word,frequency,relative_frequency
356,λαβών,40,0.00029079488782587205
357,ἀδελφούς,39,0.0002835250156302252
358,Ἰωάννου,39,0.0002835250156302252
359,μαθητάς,39,0.0002835250156302252
360,εἰρήνη,39,0.0002835250156302252
361,Πιλᾶτος,39,0.0002835250156302252
362,σαρκί,39,0.0002835250156302252
363,Ἱεροσόλυμα,38,0.00027625514343457844
364,γραμματεῖς,38,0.00027625514343457844
365,λαοῦ,38,0.00027625514343457844
366,καρπόν,38,0.00027625514343457844
367,ἄρτον,38,0.00027625514343457844
368,ἐκείνῃ,38,0.00027625514343457844
369,θέλω,38,0.00027625514343457844
370,πολλῶν,38,0.00027625514343457844
371,ἀπέστειλε(ν),38,0.00027625514343457844
372,ἰδεῖν,38,0.00027625514343457844
373,σημεῖον,38,0.00027625514343457844
374,πέντε,38,0.00027625514343457844
375,σέ,38,0.00027625514343457844
376,ἕκαστος,38,0.00027625514343457844
377,ἔργον,38,0.00027625514343457844
378,ἁγίων,38,0.00027625514343457844
379,ἥτις,38,0.00027625514343457844
380,Γαλιλαίας,37,0.0002689852712389316
381,Ἰωάννην,37,0.0002689852712389316
382,ὀφθαλμούς,37,0.0002689852712389316
383,σάρκα,37,0.0002689852712389316
384,ᾗ,37,0.0002689852712389316
385,σαρκός,37,0.0002689852712389316
386,ἄρτι,36,0.00026171539904328484
387,δικαιοσύνην,36,0.00026171539904328484
388,οὐρανοῖς,36,0.00026171539904328484
389,μίαν,36,0.00026171539904328484
390,ὥσπερ,36,0.00026171539904328484
391,σώματος,36,0.00026171539904328484
392,ἔχουσι(ν),36,0.00026171539904328484
393,ἀναστάς,36,0.00026171539904328484
394,πίστις,36,0.00026171539904328484
395,Σίμων,36,0.00026171539904328484
396,πόλεως,36,0.00026171539904328484
397,καλῶς,36,0.00026171539904328484
398,εἰσελθεῖν,36,0.00026171539904328484
399,κόσμῳ,36,0.00026171539904328484
400,γενέσθαι,36,0.00026171539904328484
401,ἀγάπη,36,0.00026171539904328484
402,υἱοῦ,35,0.000254445526847638
403,Ἰωσήφ,35,0.000254445526847638
404,ὅλον,35,0.000254445526847638
405,ὀπίσω,35,0.000254445526847638
406,εὐθέως,35,0.000254445526847638
407,καρδίᾳ,35,0.000254445526847638
408,οὐρανῷ,35,0.000254445526847638
409,μεγάλη,35,0.000254445526847638
410,δοῦλος,35,0.000254445526847638
411,μηδέν,35,0.000254445526847638
412,δόξα,35,0.000254445526847638
413,ἤκουσα,35,0.000254445526847638
414,ποιεῖτε,34,0.00024717565465199123
415,στόματος,34,0.00024717565465199123
416,μήτε,34,0.00024717565465199123
417,νόμος,34,0.00024717565465199123
418,ὄχλον,34,0.00024717565465199123
419,φαγεῖν,34,0.00024717565465199123
420,παντός,34,0.00024717565465199123
421,ἴδε,34,0.00024717565465199123
422,μεγάλῃ,34,0.00024717565465199123
423,οἵ,34,0.00024717565465199123
424,ἀκούσας,33,0.00023990578245634443
425,νυκτός,33,0.00023990578245634443
426,σεαυτόν,33,0.00023990578245634443
427,πλοῖον,33,0.00023990578245634443
428,υἱοί,33,0.00023990578245634443
429,ναί,33,0.00023990578245634443
430,πατρί,33,0.00023990578245634443
431,ἑνός,33,0.00023990578245634443
432,ἀγαθόν,33,0.00023990578245634443
433,εὗρον,33,0.00023990578245634443
434,γενομένης,33,0.00023990578245634443
435,τέλος,33,0.00023990578245634443
436,ἔλθῃ,33,0.00023990578245634443
437,βλέπετε,33,0.00023990578245634443
438,ταύτης,33,0.00023990578245634443
439,δοῦναι,33,0.00023990578245634443
440,ὥρα,33,0.00023990578245634443
441,δύναμιν,33,0.00023990578245634443
442,αἵματος,33,0.00023990578245634443
443,πιστός,33,0.00023990578245634443
444,φωνῇ,33,0.00023990578245634443
445,ἀγάπην,33,0.00023990578245634443
446,φωνή,32,0.00023263591026069763
447,προφητῶν,32,0.00023263591026069763
448,δαιμόνια,32,0.00023263591026069763
449,ἀπέθανε(ν),32,0.00023263591026069763
450,ἔθνεσι(ν),32,0.00023263591026069763
451,ταύτῃ,32,0.00023263591026069763
452,ἱερῷ,32,0.00023263591026069763
453,μήτηρ,32,0.00023263591026069763
454,κόσμος,32,0.00023263591026069763
455,σημεῖα,32,0.00023263591026069763
456,θρόνου,32,0.00023263591026069763
457,ἄνδρα,31,0.00022536603806505082
458,ἁμαρτιῶν,31,0.00022536603806505082
459,γέγονε(ν),31,0.00022536603806505082
460,ἀνθρώπους,31,0.00022536603806505082
461,ἐλάλησε(ν),31,0.00022536603806505082
462,πλήν,31,0.00022536603806505082
463,νόμῳ,31,0.00022536603806505082
464,ἔσονται,31,0.00022536603806505082
465,ἐδόθη,31,0.00022536603806505082
466,ἀγγέλων,31,0.00022536603806505082
467,αἰῶνα,31,0.00022536603806505082
468,ὁμοίως,31,0.00022536603806505082
469,χεῖρα,30,0.00021809616586940402
470,διδάσκαλε,30,0.00021809616586940402
471,ἄρτους,30,0.00021809616586940402
472,ἔχειν,30,0.00021809616586940402
473,ἀληθείᾳ,30,0.00021809616586940402
474,ἐγγύς,30,0.00021809616586940402
475,εἰπών,30,0.00021809616586940402
476,Παῦλον,30,0.00021809616586940402
477,Παύλου,30,0.00021809616586940402
478,ἀγαπητοί,30,0.00021809616586940402
479,Φαρισαίων,29,0.00021082629367375722
480,θαλάσσης,29,0.00021082629367375722
481,δικαιοσύνης,29,0.00021082629367375722
482,πυρός,29,0.00021082629367375722
483,κεφαλήν,29,0.00021082629367375722
484,ἔπεσε(ν),29,0.00021082629367375722
485,ἔτη,29,0.00021082629367375722
486,πρῶτος,29,0.00021082629367375722
487,πόθεν,29,0.00021082629367375722
488,ὅσοι,29,0.00021082629367375722
489,λέγετε,29,0.00021082629367375722
490,ἱμάτια,29,0.00021082629367375722
491,ἐκκλησίας,29,0.00021082629367375722
492,πάσχα,29,0.00021082629367375722
493,αἰῶνας,29,0.00021082629367375722
494,ποτέ,29,0.00021082629367375722
495,στόμα,28,0.00020355642147811042
496,λόγου,28,0.00020355642147811042
497,ποιεῖ,28,0.00020355642147811042
498,ἄνθρωποι,28,0.00020355642147811042
499,τούτους,28,0.00020355642147811042
500,ὥρᾳ,28,0.00020355642147811042
501,ἔχοντα,28,0.00020355642147811042
502,ἔξεστι(ν),28,0.00020355642147811042
503,ἁμαρτία,28,0.00020355642147811042
504,ἔχεις,28,0.00020355642147811042
505,ἀρχιερεύς,28,0.00020355642147811042
506,μένει,28,0.00020355642147811042
507,ἀγάπῃ,28,0.00020355642147811042
508,αἰώνων,28,0.00020355642147811042
509,Ἰακώβ,27,0.0001962865492824636
510,Ἰουδαίας,27,0.0001962865492824636
511,χρόνον,27,0.0001962865492824636
512,παιδίον,27,0.0001962865492824636
513,ὄρος,27,0.0001962865492824636
514,ἐκεῖθεν,27,0.0001962865492824636
515,ὄχλοι,27,0.0001962865492824636
516,δύνασθε,27,0.0001962865492824636
517,ποιῶν,27,0.0001962865492824636
518,μέσῳ,27,0.0001962865492824636
519,ἑαυτῷ,27,0.0001962865492824636
520,προφήτης,27,0.0001962865492824636
521,ἄλλοι,27,0.0001962865492824636
522,ῥήματα,27,0.0001962865492824636
523,χάριτος,27,0.0001962865492824636
524,ἁμαρτίαν,27,0.0001962865492824636
525,προφήτου,26,0.0001890166770868168
526,ὅστις,26,0.0001890166770868168
527,μητέρα,26,0.0001890166770868168
528,πολύς,26,0.0001890166770868168
529,πῦρ,26,0.0001890166770868168
530,ἐρχόμενος,26,0.0001890166770868168
531,ἁγίῳ,26,0.0001890166770868168
532,Πέτρον,26,0.0001890166770868168
533,λαῷ,26,0.0001890166770868168
534,μακάριοι,26,0.0001890166770868168
535,οἰκίᾳ,26,0.0001890166770868168
536,ἠκούσατε,26,0.0001890166770868168
537,ἕτερον,26,0.0001890166770868168
538,ὄντες,26,0.0001890166770868168
539,χειρός,26,0.0001890166770868168
540,ἡμέραι,26,0.0001890166770868168
541,γίνεται,26,0.0001890166770868168
542,πρόβατα,26,0.0001890166770868168
543,μείζων,26,0.0001890166770868168
544,ἀνθρώπῳ,26,0.0001890166770868168
545,ἔλαβον,26,0.0001890166770868168
546,παραβολήν,26,0.0001890166770868168
547,Μαριάμ,26,0.0001890166770868168
548,οὔπω,26,0.0001890166770868168
549,σάρξ,26,0.0001890166770868168
550,ἐπεί,26,0.0001890166770868168
551,ἀρχῆς,26,0.0001890166770868168
552,Ἰουδαίοις,26,0.0001890166770868168
553,δυνάμει,26,0.0001890166770868168
554,Ἡρῴδης,25,0.00018174680489117
555,μήποτε,25,0.00018174680489117
556,λίθον,25,0.00018174680489117
557,βασιλείας,25,0.00018174680489117
558,ποιήσω,25,0.00018174680489117
559,μέγας,25,0.00018174680489117
560,ποιεῖν,25,0.00018174680489117
561,σώματι,25,0.00018174680489117
562,θάνατον,25,0.00018174680489117
563,εἰρήνην,25,0.00018174680489117
564,αἰῶνος,25,0.00018174680489117
565,δέκα,25,0.00018174680489117
566,ὄχλου,25,0.00018174680489117
567,πλῆθος,25,0.00018174680489117
568,γενόμενος,25,0.00018174680489117
569,ἄλλος,25,0.00018174680489117
570,τρίτον,25,0.00018174680489117
571,γῆ,24,0.0001744769326955232
572,ἐρήμῳ,24,0.0001744769326955232
573,εἶχε(ν),24,0.0001744769326955232
574,πολλούς,24,0.0001744769326955232
575,ὕπαγε,24,0.0001744769326955232
576,λαός,24,0.0001744769326955232
577,τίνα,24,0.0001744769326955232
578,πάτερ,24,0.0001744769326955232
579,γίνεσθε,24,0.0001744769326955232
580,ἰδίαν,24,0.0001744769326955232
581,ἀσπάσασθε,24,0.0001744769326955232
582,ποτήριον,24,0.0001744769326955232
583,καιρῷ,24,0.0001744769326955232
584,σπέρμα,24,0.0001744769326955232
585,ἐκκλησίᾳ,24,0.0001744769326955232
586,κακόν,24,0.0001744769326955232
587,τινάς,24,0.0001744769326955232
588,πατέρες,24,0.0001744769326955232
589,ζωή,24,0.0001744769326955232
590,πιστεύων,24,0.0001744769326955232
591,θάνατος,24,0.0001744769326955232
592,λέγοντος,23,0.0001672070604998764
593,προσελθών,23,0.0001672070604998764
594,δώσω,23,0.0001672070604998764
595,ἄγγελοι,23,0.0001672070604998764
596,πέραν,23,0.0001672070604998764
597,διδάσκων,23,0.0001672070604998764
598,ὁδῷ,23,0.0001672070604998764
599,δόξῃ,23,0.0001672070604998764
600,λόγους,23,0.0001672070604998764
601,ἐξῆλθον,23,0.0001672070604998764
602,ὕδωρ,23,0.0001672070604998764
603,δεξιῶν,23,0.0001672070604998764
604,ποιῶ,23,0.0001672070604998764
605,εἰδότες,23,0.0001672070604998764
606,Μωϋσέως,23,0.0001672070604998764
607,εὐαγγελίου,23,0.0001672070604998764
608,πολύ,23,0.0001672070604998764
609,διότι,23,0.0001672070604998764
610,χάριτι,23,0.0001672070604998764
611,ἡμέρα,23,0.0001672070604998764
612,φωνῆς,23,0.0001672070604998764
613,ἐπαγγελίας,23,0.0001672070604998764
614,Ἰούδας,22,0.0001599371883042296
615,ἀντί,22,0.0001599371883042296
616,ἀνέβη,22,0.0001599371883042296
617,ὕδατος,22,0.0001599371883042296
618,τεσσεράκοντα,22,0.0001599371883042296
619,πόλις,22,0.0001599371883042296
620,βασιλείᾳ,22,0.0001599371883042296
621,εἴπῃ,22,0.0001599371883042296
622,λαβεῖν,22,0.0001599371883042296
623,οἶδε(ν),22,0.0001599371883042296
624,ζητεῖτε,22,0.0001599371883042296
625,εἰδώς,22,0.0001599371883042296
626,ἀποστόλων,22,0.0001599371883042296
627,ἄγγελον,22,0.0001599371883042296
628,ἡμερῶν,22,0.0001599371883042296
629,ῥῆμα,22,0.0001599371883042296
630,ἐκείνου,22,0.0001599371883042296
631,λαλῆσαι,22,0.0001599371883042296
632,χαρᾶς,22,0.0001599371883042296
633,δοῦλοι,22,0.0001599371883042296
634,γινώσκετε,22,0.0001599371883042296
635,γυναικός,22,0.0001599371883042296
636,ὥραν,22,0.0001599371883042296
637,ἑνί,22,0.0001599371883042296
638,ἐπίστευσαν,22,0.0001599371883042296
639,μικρόν,22,0.0001599371883042296
640,λέγεις,22,0.0001599371883042296
641,ἀλήθειαν,22,0.0001599371883042296
642,μέλη,22,0.0001599371883042296
643,ἐλθόντες,21,0.0001526673161085828
644,λέγουσα,21,0.0001526673161085828
645,προφῆται,21,0.0001526673161085828
646,μηδενί,21,0.0001526673161085828
647,ἔλαβε(ν),21,0.0001526673161085828
648,καρδίαις,21,0.0001526673161085828
649,ὥρας,21,0.0001526673161085828
650,πιστεύετε,21,0.0001526673161085828
651,πόλει,21,0.0001526673161085828
652,λαλεῖν,21,0.0001526673161085828
653,ἐξελθών,21,0.0001526673161085828
654,πρεσβυτέρων,21,0.0001526673161085828
655,ἔβαλε(ν),21,0.0001526673161085828
656,ἀδελφῶν,21,0.0001526673161085828
657,μηκέτι,21,0.0001526673161085828
658,πρεσβύτεροι,21,0.0001526673161085828
659,δυνάμεως,21,0.0001526673161085828
660,ἤγειρε(ν),21,0.0001526673161085828
661,τινός,21,0.0001526673161085828
662,κρίμα,21,0.0001526673161085828
663,καιρόν,21,0.0001526673161085828
664,γραφή,21,0.0001526673161085828
665,ποιήσας,21,0.0001526673161085828
666,ἄνδρας,21,0.0001526673161085828
667,Ἰσαάκ,20,0.00014539744391293602
