rank,word,frequency,relative_frequency
243,purchase,144,0.0004948011517871255
244,three,143,0.0004913650326774928
245,period,143,0.0004913650326774928
246,rent,142,0.0004879289135678599
247,rights,142,0.0004879289135678599
248,c,141,0.0004844927944582271
249,civil,140,0.00048105667534859426
250,take,140,0.00048105667534859426
251,family,140,0.00048105667534859426
252,constitution,140,0.00048105667534859426
253,received,139,0.00047762055623896146
254,bonus,137,0.0004707483180196958
255,dismissed,136,0.000467312198910063
256,relevant,135,0.0004638760798004302
257,commissioner,135,0.0004638760798004302
258,clear,134,0.0004604399606907974
259,counsel,134,0.0004604399606907974
260,party,134,0.0004604399606907974
261,regard,134,0.0004604399606907974
262,brought,133,0.00045700384158116455
263,years,132,0.00045356772247153175
264,either,132,0.00045356772247153175
265,concerned,132,0.00045356772247153175
266,legal,132,0.00045356772247153175
267,issued,132,0.00045356772247153175
268,non,131,0.00045013160336189895
269,well,131,0.00045013160336189895
270,papers,131,0.00045013160336189895
271,plaintiffs,130,0.0004466954842522661
272,explanation,130,0.0004466954842522661
273,inter,130,0.0004466954842522661
274,bank,130,0.0004466954842522661
275,each,130,0.0004466954842522661
276,authority,130,0.0004466954842522661
277,put,129,0.0004432593651426333
278,sum,129,0.0004432593651426333
279,words,128,0.0004398232460330005
280,final,128,0.0004398232460330005
281,bill,128,0.0004398232460330005
282,position,127,0.0004363871269233677
283,follows,126,0.00043295100781373484
284,used,126,0.00043295100781373484
285,point,125,0.00042951488870410204
286,new,125,0.00042951488870410204
287,more,125,0.00042951488870410204
288,defendants,125,0.00042951488870410204
289,already,123,0.0004226426504848364
290,reference,123,0.0004226426504848364
291,bench,122,0.0004192065313752036
292,indian,122,0.0004192065313752036
293,labour,122,0.0004192065313752036
294,march,121,0.0004157704122655708
295,transaction,121,0.0004157704122655708
296,house,120,0.00041233429315593793
297,itself,119,0.00040889817404630513
298,industrial,119,0.00040889817404630513
299,granted,118,0.00040546205493667233
300,subject,118,0.00040546205493667233
301,my,118,0.00040546205493667233
302,jurisdiction,117,0.00040202593582703953
303,came,117,0.00040202593582703953
304,work,117,0.00040202593582703953
305,enquiry,116,0.0003985898167174067
306,merely,115,0.0003951536976077739
307,day,115,0.0003951536976077739
308,notice,114,0.0003917175784981411
309,value,114,0.0003917175784981411
310,commission,114,0.0003917175784981411
311,result,113,0.0003882814593885082
312,prescribed,113,0.0003882814593885082
313,january,112,0.0003848453402788754
314,village,112,0.0003848453402788754
315,course,112,0.0003848453402788754
316,singh,112,0.0003848453402788754
317,while,111,0.0003814092211692426
318,st,111,0.0003814092211692426
319,due,111,0.0003814092211692426
320,true,111,0.0003814092211692426
321,charge,111,0.0003814092211692426
322,british,111,0.0003814092211692426
323,nature,108,0.00037110086384034417
324,revenue,108,0.00037110086384034417
325,states,107,0.00036766474473071137
326,far,107,0.00036766474473071137
327,accordingly,107,0.00036766474473071137
328,properties,107,0.00036766474473071137
329,favour,107,0.00036766474473071137
330,clearly,106,0.0003642286256210785
331,making,106,0.0003642286256210785
332,material,106,0.0003642286256210785
333,courts,105,0.0003607925065114457
334,assessment,105,0.0003607925065114457
335,official,105,0.0003607925065114457
336,limited,104,0.0003573563874018129
337,decided,104,0.0003573563874018129
338,criminal,104,0.0003573563874018129
339,consideration,104,0.0003573563874018129
340,thereof,104,0.0003573563874018129
341,orders,104,0.0003573563874018129
342,purchases,104,0.0003573563874018129
343,full,103,0.00035392026829218006
344,took,102,0.00035048414918254726
345,give,102,0.00035048414918254726
346,action,102,0.00035048414918254726
347,allowance,102,0.00035048414918254726
348,letter,101,0.00034704803007291446
